volt-up; volt-down; volt-left; volt-right; time-min; time-inc; time-max; flip-x; flip-y; swap-xy
3;2;3;3;1;0.5;3;0;1;0
0;3;1;1.00139;-8.20443
1;2;1;-0.67415;2.82785
2;3;1;-3.77584;-0.254321
3;3;1;23.8483;0.889
0;3;1;-1.61645;-7.77433
1;2;1;-0.477472;14.293
2;3;1;-10.7145;-0.228222
3;3;1;13.2937;0.759077
0;3;1;-0.160782;-7.74232
1;2;1;-0.251104;13.4438
2;3;1;-9.57848;-0.0651209
3;3;1;2.85481;0.561385
0;3;1;0.990021;-8.91958
1;2;1;-0.432078;15.5738
2;3;1;-2.98067;-0.333484
3;3;1;16.4537;0.599776
0;3;1;0.325415;-6.59875
1;2;1;0.528148;1.75298
2;3;1;-14.6732;-1.01289
3;3;1;22.9893;-0.220454
0;3;1;-0.875049;-1.86533
1;2;1;0.103547;6.46177
2;3;1;-16.3155;-0.763725
3;3;1;14.1078;0.818171
0;3;1;0.747044;-25.4054
1;2;1;-1.12936;13.8761
2;3;1;-2.80965;-0.00139575
3;3;1;2.89157;-0.057879
0;3;1;2.78461;-28.2623
1;2;1;-1.74329;-0.57165
2;3;1;-9.24241;-0.54076
3;3;1;18.1303;1.08045
0;3;1;0.6155;0.569416
1;2;1;0.507012;5.57914
2;3;1;-7.94824;-0.727728
3;3;1;1.29038;-0.414929
0;3;1;3.52139;-16.8781
1;2;1;0.0649627;9.96285
2;3;1;-2.60822;0.296817
3;3;1;10.4004;1.52213
0;3;1.5;2.10169;-39.1479
1;2;1.5;-1.64262;4.35655
2;3;1.5;-17.1868;-0.482396
3;3;1.5;1.1859;0.339939
0;3;1.5;0.271359;-38.4087
1;2;1.5;0.568003;14.0693
2;3;1.5;-21.5722;-0.813572
3;3;1.5;22.2514;0.683365
0;3;1.5;0.495194;-33.8209
1;2;1.5;-1.35798;2.60197
2;3;1.5;-19.3829;-0.330205
3;3;1.5;24.3728;0.235186
0;3;1.5;0.0681251;-36.4274
1;2;1.5;0.501278;7.48068
2;3;1.5;-22.7366;-1.20475
3;3;1.5;0.126206;0.142701
0;3;1.5;0.29242;-32.5007
1;2;1.5;0.542142;7.88342
2;3;1.5;-15.3602;-0.14837
3;3;1.5;-0.560218;0.0828464
0;3;1.5;0.908121;-35.9531
1;2;1.5;-0.129699;16.4603
2;3;1.5;-21.7848;-0.668673
3;3;1.5;15.3502;0.62767
0;3;1.5;0.395362;-36.5992
1;2;1.5;0.102244;8.52017
2;3;1.5;-13.6807;-0.170893
3;3;1.5;19.6908;0.659391
0;3;1.5;0.965968;-38.5611
1;2;1.5;0.281793;0.000267142
2;3;1.5;-10.0733;-0.744317
3;3;1.5;22.566;1.21803
0;3;1.5;0.0497418;-0.616464
1;2;1.5;0.364005;12.5267
2;3;1.5;-21.3527;-0.813089
3;3;1.5;26.1536;0.826992
0;3;1.5;0.614848;-0.183945
1;2;1.5;-1.17079;15.1926
2;3;1.5;-17.1658;-0.944787
3;3;1.5;30.1944;0.695815
0;3;2;2.27975;-52.403
1;2;2;0.790494;19.3744
2;3;2;1.37443;0.125291
3;3;2;30.5441;0.771378
0;3;2;-0.0144131;-30.3449
1;2;2;-0.807191;8.3836
2;3;2;-0.0531436;-0.259249
3;3;2;23.6649;0.878622
0;3;2;1.41738;-59.0724
1;2;2;-0.425302;18.5011
2;3;2;-30.1909;-1.2432
3;3;2;0.0548342;0.229155
0;3;2;0.922797;-52.9057
1;2;2;-0.149818;10.3392
2;3;2;-33.9871;-1.44726
3;3;2;42.3934;1.61143
