target.x;target.y;delta.x;delta.y
450;450;-0.300205;-3.18217;off
450;450;-0.600229;-3.36128;off
450;450;-0.660362;-3.06168;off
450;450;-0.24018;-3.06229;off
450;450;-0.780168;-3.18068;off
450;450;-0.600129;-3.12067;off
450;450;-0.600109;-3.00055;off
450;450;-0.120062;-3.18164;off
450;450;-0.360282;-3.24254;off
450;450;-0.60061;-3.12317;off
450;450;-0.420245;-3.18185;off
450;450;-0.360306;-3.1827;off
450;450;-0.780741;-3.06291;off
450;450;-0.720515;-3.12223;off
450;450;-0.720587;-3.18259;off
450;450;-0.660296;-3.06137;off
450;450;-0.780142;-3.12057;off
450;450;-0.900014;-3.30005;off
450;450;-0.360306;-3.12265;off
450;450;-1.08063;-3.12182;off
450;450;-0.900344;-3.24124;off
450;450;-0.360318;-3.0627;off
450;450;-0.780662;-3.0626;off
450;450;-1.02059;-3.00175;off
450;450;-0.540513;-2.88273;off
450;450;-0.540639;-2.70319;off
450;450;-0.720611;-2.88245;off
450;450;-1.08066;-3.00185;off
450;450;-0.12009;-2.9422;off
450;450;-0.420385;-3.00275;off
450;450;-0.960559;-3.24189;off
450;450;-0.300105;-3.24113;off
450;450;-0.240268;-3.00335;off
450;450;-0.961008;-3.30346;off
450;450;-0.420399;-3.06291;off
450;450;-0.840321;-2.94112;off
450;450;-0.60069;-2.7031;off
450;450;-0.60069;-2.7031;off
450;450;-0.961072;-2.88322;off
450;450;-0.840685;-2.8223;off
450;450;-0.900915;-2.88293;off
450;450;-1.20014;-3.00035;off
450;450;-0.840377;-3.18143;off
450;450;-1.08038;-3.12109;off
450;450;-0.899834;-3.2394;off
450;450;-0.959855;-3.23951;off
450;450;-1.1399;-3.29972;off
450;450;-0.840377;-3.06137;off
450;450;-0.60069;-3.00345;off
450;450;-1.0811;-3.12317;off
450;450;-0.901155;-3.124;off
450;450;-0.661002;-2.7041;off
450;450;-0.961585;-2.82466;off
450;450;-1.14196;-2.70464;off
450;450;-0.660957;-2.82409;off
