target.x;target.y;delta.x;delta.y
450;450;161.411;-7.47271;off
450;450;161.525;-7.35291;off
450;450;161.703;-7.23599;off
450;450;161.802;-7.23503;off
450;450;161.536;-7.35071;off
450;450;161.889;-7.17381;off
450;450;161.611;-7.35413;off
450;450;161.741;-7.3573;off
450;450;162.393;-7.18024;off
450;450;162.17;-7.36048;off
450;450;161.393;-7.23816;off
450;450;161.615;-7.24008;off
450;450;160.882;-7.29652;off
450;450;160.519;-7.3534;off
450;450;160.764;-7.23407;off
450;450;160.922;-7.29288;off
450;450;160.552;-7.5315;off
450;450;160.803;-7.17071;off
450;450;161.092;-7.46627;off
450;450;160.44;-7.58598;off
450;450;160.646;-7.40801;off
450;450;160.869;-7.40727;off
450;450;160.81;-7.46701;off
450;450;160.499;-7.40949;off
450;450;160.369;-7.409;off
450;450;160.766;-7.40801;off
450;450;160.369;-7.34925;off
450;450;160.527;-7.46775;off
450;450;160.348;-7.28853;off
450;450;160.908;-7.40629;off
450;450;160.517;-7.52425;off
450;450;160.728;-7.34656;off
450;450;160.767;-7.52475;off
450;450;161.201;-7.58522;off
450;450;160.675;-7.46354;off
450;450;161.011;-7.40555;off
450;450;161.01;-7.468;off
450;450;160.673;-7.34949;off
450;450;161.215;-7.41219;off
450;450;160.89;-7.5305;off
450;450;160.884;-7.23143;off
450;450;160.94;-7.46751;off
450;450;160.456;-7.76595;off
450;450;161.205;-7.409;off
450;450;160.371;-7.58271;off
450;450;160.649;-7.7011;off
450;450;160.61;-7.70212;off
450;450;160.902;-7.58522;off
450;450;160.534;-7.70135;off
450;450;160.671;-7.69931;off
450;450;160.672;-7.57718;off
450;450;160.64;-7.51602;off
450;450;160.309;-7.57693;off
450;450;160.642;-7.46478;off
450;450;160.549;-7.34656;off
450;450;160.597;-7.46825;off
450;450;160.907;-7.34925;off
450;450;160.832;-7.58472;off
450;450;160.517;-7.46453;off
450;450;160.885;-7.46775;off
450;450;160.651;-7.29143;off
450;450;161.2;-7.76724;off
450;450;160.009;-7.4117;off
450;450;161.345;-7.05401;off
450;450;161.146;-7.648;off
450;450;160.388;-7.35559;off
450;450;161.639;-7.23311;off
450;450;160.134;-7.5315;off
450;450;161.66;-7.65257;off
450;450;160.449;-7.9507;off
450;450;161.572;-7.77653;off
450;450;161.259;-8.06892;off
450;450;161.107;-8.06732;off
450;450;161.25;-7.88333;off
450;450;161.205;-7.887;off
450;450;161.374;-8.06571;off
450;450;160.679;-7.82491;off
