target.x;target.y;delta.x;delta.y
450;450;-5.68434e-14;0.439322;on
450;450;-0.0627712;0.627712;on
450;450;-5.68434e-14;-0.376614;on
450;450;-5.68434e-14;-0.37664;on
450;450;-0.502082;-0.376562;on
450;450;-0.69058;0.18834;on
450;450;0.31402;0.376824;on
450;450;0.502415;0.502415;on
450;450;0.0627931;-0.376759;on
450;450;-0.501785;-0.627231;on
450;450;-0.814889;0.250735;on
450;450;0.501855;0.501855;on
450;450;0.815827;-0.125512;on
450;450;-0.56437;-0.752494;on
450;450;-0.564646;0.501907;on
450;450;0.879472;0.125639;on
450;450;-0.251137;-0.690628;on
450;450;-0.376522;0.376522;on
450;450;0.502625;0.251313;on
450;450;-0.753281;-0.313867;on
450;450;-0.18811;-0.564331;on
450;450;0.250901;0.313626;on
450;450;0.690435;0.564902;on
450;450;-5.68434e-14;0.188333;on
450;450;-0.627187;-0.376312;on
450;450;-0.564429;-0.125429;on
450;450;0.25084;0.06271;on
450;450;-0.0627012;-0.125402;on
450;450;0.313648;-5.68434e-14;on
450;450;-0.0627471;-0.0627471;on
450;450;-5.68434e-14;-0.188163;on
450;450;0.313594;-5.68434e-14;on
450;450;0.313692;0.188215;on
450;450;-0.0627428;-5.68434e-14;on
450;450;-0.25098;0.12549;on
450;450;-5.68434e-14;0.251059;on
450;450;0.125556;0.188333;on
450;450;-0.0627428;0.0627428;on
450;450;-0.062734;0.188202;on
450;450;0.188182;-0.0627275;on
450;450;-0.689786;-0.0627078;on
450;450;-0.439123;0.125464;on
450;450;0.439108;-0.313648;on
450;450;0.752677;-0.376339;on
450;450;-0.125407;-0.438924;on
450;450;-0.250805;0.313506;on
450;450;0.125468;0.501872;on
450;450;0.125529;0.439353;on
450;450;-0.188097;-0.376194;on
450;450;-0.0626598;-0.563938;on
450;450;-0.438771;-0.188045;on
450;450;-0.0626991;0.0626991;on
450;450;0.501837;0.376378;on
450;450;-0.0627362;0.376417;on
450;450;0.0627275;-5.68434e-14;on
450;450;-0.0626816;-0.438771;on
450;450;0.75231;-0.0626925;on
450;450;-1.25372;-0.188058;on
450;450;0.438786;-0.0626838;on
450;450;-5.68434e-14;-5.68434e-14;on
450;450;-0.877451;-0.188025;on
450;450;-5.68434e-14;0.250744;on
450;450;0.125376;0.188064;on
450;450;0.250831;0.125416;on
450;450;0.313484;-0.0626969;on
450;450;-0.0627012;-0.188104;on
450;450;0.313484;-0.188091;on
450;450;-0.125464;0.188196;on
450;450;-0.125521;0.251041;on
450;450;-0.25098;0.25098;on
450;450;-0.313605;0.250884;on
450;450;0.8154;0.125446;on
450;450;-0.564547;-0.439092;on
