target.x;target.y;delta.x;delta.y
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
480;150;-12;-3;on
