target.x;target.y;delta.x;delta.y
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
480;150;2;-2;on
