target.x;target.y;delta.x;delta.y
450;450;9.08449;109.817;off
450;450;9.08449;109.817;off
450;450;9.08449;109.817;off
450;450;8.7752;109.628;off
450;450;8.77309;109.664;off
450;450;8.77309;109.664;off
450;450;9.1441;109.544;off
450;450;9.14347;109.351;off
450;450;9.14347;109.351;off
450;450;9.01465;109.658;off
450;450;9.01465;109.658;off
450;450;9.38318;109.265;off
450;450;9.25813;109.122;off
450;450;9.25813;109.122;off
450;450;9.25813;109.122;off
450;450;8.8875;109.304;off
450;450;8.8875;109.304;off
450;450;8.8875;109.304;off
450;450;8.8875;109.304;off
450;450;9.07172;109.108;off
450;450;9.07172;109.108;off
450;450;9.07172;109.108;off
450;450;9.07048;109.093;off
450;450;9.07048;109.093;off
450;450;9.25337;109.066;off
450;450;9.25337;109.066;off
450;450;9.25337;109.066;off
450;450;8.57068;109.014;off
450;450;8.57068;109.014;off
450;450;8.57068;109.014;off
450;450;8.88111;108.979;off
450;450;8.75656;109.025;off
450;450;8.6937;109.072;off
450;450;8.6937;109.072;off
450;450;8.6937;109.072;off
450;450;8.44823;108.964;off
450;450;8.38541;109.072;off
450;450;8.63234;109.076;off
450;450;8.87928;109.079;off
450;450;8.81671;109.068;off
450;450;8.56921;108.995;off
450;450;8.50814;108.941;off
450;450;8.50814;108.941;off
450;450;8.44649;109.003;off
450;450;8.44649;109.003;off
450;450;8.75716;109.033;off
450;450;8.82034;109.051;off
450;450;8.69817;109.128;off
450;450;8.69817;109.128;off
450;450;8.69817;109.128;off
450;450;8.51223;109.24;off
450;450;8.51193;109.298;off
450;450;8.63589;109.367;off
450;450;8.63589;109.367;off
450;450;8.88415;109.448;off
450;450;8.88415;109.448;off
450;450;8.88415;109.448;off
450;450;8.63914;109.409;off
450;450;8.57832;109.482;off
450;450;8.64033;109.485;off
450;450;8.76496;109.439;off
450;450;8.76496;109.439;off
450;450;8.76496;109.439;off
450;450;8.82487;109.478;off
450;450;8.76286;109.474;off
450;450;8.76286;109.474;off
450;450;8.76286;109.474;off
450;450;8.82911;109.407;off
450;450;8.8936;109.441;off
450;450;8.77218;109.405;off
450;450;8.77218;109.405;off
450;450;8.77218;109.405;off
450;450;8.58538;109.448;off
450;450;8.39922;109.437;off
450;450;8.33746;109.375;off
450;450;8.33746;109.375;off
450;450;8.33746;109.375;off
450;450;8.33746;109.375;off
450;450;8.33746;109.375;off
450;450;8.58008;109.381;off
450;450;8.33146;109.358;off
450;450;8.33146;109.358;off
450;450;8.20606;109.394;off
450;450;8.20466;109.128;off
450;450;8.32889;109.078;off
450;450;8.76196;109.093;off
450;450;8.76196;109.093;off
450;450;9.00878;109.031;off
450;450;8.94615;109.02;off
450;450;8.82215;109.074;off
450;450;8.51252;108.874;off
450;450;8.51252;108.874;off
450;450;8.38656;108.779;off
450;450;8.38656;108.779;off
450;450;8.75416;108.872;off
450;450;8.75416;108.872;off
450;450;9.00106;108.876;off
450;450;9.18602;108.876;off
450;450;9.18602;108.876;off
450;450;9.18602;108.876;off
450;450;8.75686;108.721;off
450;450;8.75686;108.721;off
450;450;8.75686;108.721;off
450;450;8.75686;108.721;off
450;450;8.82004;108.678;off
450;450;8.82004;108.678;off
450;450;8.82004;108.678;off
450;450;9.18948;108.732;off
450;450;9.18948;108.732;off
450;450;9.18948;108.732;off
450;450;9.00507;108.801;off
450;450;9.00507;108.801;off
450;450;9.00507;108.801;off
450;450;9.00507;108.801;off
450;450;8.44707;108.579;off
450;450;8.44707;108.579;off
450;450;8.6934;108.575;off
450;450;9.06644;108.551;off
450;450;9.06644;108.551;off
450;450;9.06644;108.551;off
450;450;9.00878;108.722;off
450;450;9.00878;108.722;off
450;450;8.82245;108.831;off
450;450;8.82245;108.831;off
450;450;8.82245;108.831;off
450;450;8.45054;108.685;off
450;450;8.45054;108.685;off
450;450;8.45054;108.685;off
450;450;9.00816;109.023;off
450;450;9.00816;109.023;off
450;450;9.25591;108.973;off
450;450;9.25591;108.973;off
450;450;8.88415;109.078;off
450;450;8.88415;109.078;off
450;450;8.88415;109.078;off
450;450;8.20156;108.902;off
450;450;8.20156;108.902;off
450;450;8.50931;108.833;off
450;450;8.81973;108.797;off
450;450;8.81973;108.797;off
450;450;9.06861;108.885;off
450;450;9.06861;108.885;off
450;450;9.06861;108.885;off
450;450;8.8872;108.868;off
450;450;8.8872;108.868;off
450;450;8.8872;108.868;off
450;450;8.20859;108.934;off
450;450;8.20859;108.934;off
450;450;8.20859;108.934;off
450;450;8.51894;109.079;off
