target.x;target.y;delta.x;delta.y
450;450;0.540838;-1.44223;off
450;450;0.300375;-1.4418;off
450;450;0.360522;-1.50218;off
450;450;0.540964;-1.38246;off
450;450;0.120182;-1.56237;off
450;450;0.480696;-1.56226;off
450;450;0.600991;-1.68277;off
450;450;0.721117;-1.7427;off
450;450;0.480504;-1.80189;off
450;450;0.961521;-1.50238;off
450;450;0.600971;-1.68272;off
450;450;0.12017;-1.80255;off
450;450;0.901938;-1.38297;off
450;450;0.120307;-1.44368;off
450;450;0.481066;-1.56346;off
450;450;1.02257;-1.38348;off
450;450;0.721767;-1.62398;off
450;450;0.480905;-1.74328;off
450;450;0.781236;-1.68266;off
450;450;1.14226;-1.62322;off
450;450;0.661289;-1.92375;off
450;450;0.961939;-1.80363;off
450;450;1.50313;-1.80376;off
450;450;1.32289;-1.9242;off
450;450;1.082;-1.92356;off
450;450;1.26204;-2.16349;off
450;450;1.38209;-2.10319;off
450;450;1.50233;-2.28354;off
450;450;1.44209;-2.34339;off
450;450;1.86239;-2.343;off
450;450;1.56258;-2.46406;off
450;450;1.68277;-2.52416;off
450;450;1.68311;-2.52467;off
450;450;1.38293;-2.40509;off
450;450;1.68412;-2.22545;off
450;450;1.50423;-1.98559;off
450;450;1.08276;-2.22567;off
450;450;1.0223;-1.98446;off
450;450;1.38288;-2.04426;off
450;450;0.901757;-1.98387;off
450;450;1.86382;-1.80369;off
450;450;1.38325;-1.7441;off
450;450;1.74462;-1.86494;off
450;450;1.14276;-1.98479;off
450;450;1.20282;-1.98466;off
450;450;0.841528;-2.04371;off
450;450;1.02213;-2.04426;off
450;450;0.601312;-1.86407;off
450;450;1.14257;-1.80406;off
450;450;1.2625;-1.74346;off
450;450;1.08196;-2.04371;off
450;450;1.08182;-1.86313;off
450;450;1.38232;-1.68283;off
450;450;0.961489;-1.7427;off
450;450;0.901276;-1.68238;off
450;450;0.72102;-1.56221;off
450;450;1.44194;-1.32178;off
450;450;1.262;-1.44228;off
450;450;1.62349;-1.08233;off
450;450;2.40613;-0.962453;off
450;450;2.34794;-0.602036;off
450;450;2.16893;-0.662727;off
450;450;1.86831;-0.723217;off
450;450;1.86762;-1.02418;off
450;450;1.74725;-1.26525;off
450;450;1.74678;-1.44561;off
450;450;1.20383;-1.80575;off
450;450;1.14295;-1.86481;off
450;450;0.541036;-1.92368;off
450;450;0.240372;-1.92298;off
450;450;0.240204;-1.92163;off
450;450;0.480344;-1.62116;off
450;450;0.720732;-1.68171;off
450;450;0.780741;-1.44137;off
450;450;1.14169;-1.44214;off
450;450;1.38251;-1.56284;off
450;450;1.62343;-1.74369;off
450;450;1.50288;-1.86357;off
450;450;1.20226;-1.92362;off
450;450;0.841696;-1.80363;off
450;450;0.661443;-1.56341;off
450;450;0.661554;-1.26297;off
450;450;0.481178;-1.26309;off
450;450;0.902511;-1.20335;off
450;450;1.26381;-1.26381;off
450;450;1.14322;-1.3839;off
450;450;1.02278;-1.62441;off
450;450;1.32386;-1.74509;off
450;450;1.26356;-1.92542;off
450;450;0.781418;-2.22404;off
450;450;1.20198;-2.10347;off
450;450;1.08178;-2.10347;off
450;450;0.661024;-2.10326;off
450;450;0.661134;-2.04351;off
450;450;0.901727;-1.80345;off
450;450;0.66109;-1.80297;off
450;450;0.180213;-1.8622;off
450;450;0.480696;-1.50218;off
450;450;0.601011;-1.38232;off
450;450;0.300536;-1.44257;off
450;450;0.901787;-1.20238;off
450;450;1.62474;-0.842456;off
450;450;1.80738;-0.783197;off
450;450;1.32581;-0.783433;off
450;450;1.44673;-0.663082;off
450;450;1.44663;-0.78359;off
450;450;1.1446;-0.783144;off
450;450;0.962903;-1.02308;off
450;450;1.14303;-0.962549;off
450;450;1.08254;-1.20282;off
450;450;0.962131;-1.20266;off
450;450;1.08157;-1.20174;off
450;450;1.26225;-1.20214;off
450;450;1.14245;-1.32284;off
450;450;0.661377;-1.14238;off
450;450;1.14261;-1.08247;off
450;450;0.962131;-1.14253;off
450;450;0.901456;-1.20194;off
450;450;0.661068;-1.14184;off
450;450;1.02158;-1.14177;off
450;450;0.901005;-1.38154;off
450;450;1.14177;-1.26195;off
450;450;0.961874;-1.20234;off
450;450;0.901727;-1.14219;off
450;450;1.62376;-1.08251;off
450;450;1.20331;-1.02281;off
450;450;1.3839;-1.08305;off
450;450;1.56477;-0.962936;off
450;450;1.74614;-0.842963;off
450;450;1.02339;-1.02339;off
450;450;1.44445;-0.902782;off
450;450;1.98532;-1.02274;off
450;450;1.14257;-1.0223;off
450;450;1.6236;-1.2628;off
450;450;1.3232;-1.08261;off
450;450;1.62349;-1.26271;off
450;450;0.961778;-1.56289;off
450;450;1.50238;-1.56247;off
450;450;1.14127;-1.56174;off
450;450;1.14127;-1.62181;off
450;450;1.02138;-1.68227;off
450;450;1.08168;-1.56242;off
450;450;1.02145;-1.86264;off
450;450;1.20194;-1.86301;off
450;450;1.20122;-2.04207;off
450;450;1.20122;-1.98201;off
450;450;1.3213;-2.16212;off
450;450;1.08103;-2.10199;off
450;450;0.960399;-2.1609;off
450;450;1.02029;-2.10059;off
450;450;1.20086;-2.22159;off
450;450;0.540278;-2.16111;off
450;450;0.840573;-2.22151;off
450;450;1.02073;-2.16155;off
450;450;0.660186;-2.40068;off
450;450;0.600029;-2.1601;off
450;450;0.839985;-2.21996;off
450;450;0.660032;-2.0401;off
450;450;0.719963;-2.09989;off
450;450;0.720131;-1.98036;off
450;450;0.720035;-1.9801;off
450;450;1.0803;-1.74049;off
450;450;1.02039;-1.68064;off
450;450;0.78035;-1.68075;off
450;450;1.26073;-1.50087;off
450;450;1.20066;-1.80099;off
450;450;1.20066;-1.56086;off
450;450;1.44079;-1.56086;off
450;450;1.2609;-1.44103;off
450;450;1.38085;-1.50092;off
450;450;1.14108;-1.44137;off
450;450;1.14097;-1.56132;off
450;450;1.56138;-1.56138;off
450;450;0.901155;-1.62208;off
450;450;1.2013;-1.68182;off
450;450;1.26141;-1.62181;off
450;450;1.02124;-1.80219;off
450;450;0.660671;-1.62165;off
450;450;1.26179;-1.6223;off
450;450;1.20234;-1.62316;off
450;450;0.721285;-1.80321;off
450;450;1.02131;-1.86239;off
450;450;1.38168;-1.86226;off
450;450;1.20154;-1.92246;off
450;450;0.900704;-2.10164;off
450;450;1.6821;-1.86233;off
450;450;1.50238;-1.98314;off
450;450;0.720756;-2.16227;off
450;450;1.56169;-1.92208;off
450;450;1.44161;-1.98221;off
450;450;1.20194;-1.62262;off
450;450;0.901366;-1.68255;off
450;450;1.44185;-2.16277;off
450;450;1.80333;-0.841556;off
450;450;1.02196;-1.02196;off
450;450;1.9844;-1.0824;off
450;450;2.04528;-1.20311;off
450;450;1.44407;-0.842371;off
450;450;2.1053;-1.38348;off
450;450;2.10537;-1.32337;off
450;450;1.9251;-1.02271;off
450;450;1.56399;-1.26322;off
450;450;2.10579;-1.26347;off
450;450;1.80599;-0.722395;off
450;450;1.68559;-0.601996;off
450;450;1.80629;-0.903145;off
450;450;1.80683;0.782961;off
450;450;4.34047;-0.301421;off
450;450;-1.0238;-0.662461;off
450;450;4.21327;-0.300948;off
450;450;2.59248;1.44697;off
450;450;1.56608;-1.26491;off
450;450;0.902601;-0.120347;off
450;450;4.27589;0.96358;off
450;450;0.060252;0.542268;off
450;450;1.50529;-0.842963;off
450;450;1.98865;0.964193;off
450;450;1.80792;0.241056;off
450;450;-0.180556;-0.902782;off
450;450;1.32377;-0.601714;off
450;450;3.07182;3.07182;off
450;450;0.300706;-1.86438;off
450;450;-1.08095;-2.10185;off
450;450;4.09248;2.28697;off
450;450;1.62713;0.482113;off
450;450;-1.14287;-1.80454;off
450;450;2.16646;0.0601794;off
450;450;1.50625;1.3255;off
450;450;0.18043;-1.62387;off
450;450;-5.68434e-14;-1.32183;off
450;450;2.9486;1.98579;off
450;450;2.28904;0.240951;off
450;450;-1.44378;-1.02267;off
450;450;2.89055;1.68615;off
450;450;2.29149;2.4724;off
450;450;0.301452;0.120581;off
450;450;0.542377;0.361584;off
450;450;2.17089;2.05028;off
450;450;0.723556;1.08533;off
450;450;0.120456;0.782961;off
450;450;1.92774;1.32532;off
450;450;0.963709;1.62626;off
450;450;1.08352;0.180587;off
450;450;1.32466;1.0236;off
450;450;2.28965;1.26533;off
450;450;0.30123;0.662705;off
450;450;3.91861;0.241145;off
450;450;-0.120488;0.421707;off
450;450;2.7652;-1.62305;off
450;450;1.98526;0.120319;off
450;450;2.34512;-1.14249;off
450;450;-0.179949;-2.39932;off
450;450;3.00085;-2.04058;off
450;450;1.44098;-0.780532;on
450;450;-0.48068;0.84119;on
450;450;-5.68434e-14;-0.540982;on
450;450;0.360727;0.0601212;on
450;450;-1.20335;0.0601674;on
450;450;0.48158;0.722371;on
450;450;-0.782228;-0.300857;on
450;450;0.300807;-0.661775;on
450;450;0.541615;0.0601794;on
450;450;-0.240678;0.0601694;on
450;450;-0.300877;-0.0601754;on
