target.x;target.y;delta.x;delta.y
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
480;150;6;-4;on
