target.x;target.y;delta.x;delta.y
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
480;150;7;-8;on
480;150;6;-8;on
480;150;6;-8;on
480;150;7;-8;on
